('μέλλετʼ', 'μέλλω')
('ἕνʼ', 'ἕνʼ')
('ταὔθʼ', 'ταὐτός')
('ἔχετʼ', 'ἔχω')
('ἐσθʼ', 'εἰμί')
('εἵνεκʼ', 'ἕνεκα')
('τἆθλʼ', 'ἆθλον')
('παραχρῆμʼ', 'παραχρῆμα')
('πλοῖʼ', 'πλοῖον')
('ἀκούσηθʼ', 'ἀκούω')
('δεῖνʼ', 'δεῖνα')
('ἐποιήσασθʼ', 'ποιέω')
('δημόσιʼ', 'δημόσιος')
('μίκρʼ', 'μικρός')
('καταστήσαντʼ', 'καθίστημι')
('ὀλίγʼ', 'ὀλίγος')
('ἀναγκάζετʼ', 'ἀναγκάζω')
('φαινοίμεθʼ', 'φαίνω')
('ἥκισθʼ', 'ἥκιστος')
('τίμημʼ', 'τιμάω')
('ἐψηφίσασθʼ', 'ψηφίζω')
('ἐρωτήσαιτʼ', 'ἐρωτάω')
('κᾆτʼ', 'εἶτα')
('ἠφάνισʼ', '_')
('ἀπώλοντʼ', 'ἀπόλλυμι')
('πράξεθʼ', 'πράσσω')
('διακόσιʼ', 'διακόσιοι')
('ὄψεσθʼ', 'ὁράω')
('οὐδεπώποθʼ', 'οὐδεπώποτε')
('πόσσʼ', 'πόσις')
('Εἶθʼ', '_')
('Ἀλλʼ', 'ἀλλά')
('φέρʼ', 'φέρω')
('ἐδίηνʼ', 'διαίνω')
('ὐπʼ', 'ὑπό')
('Εἶτʼ', '_')
('Δίʼ', 'Ζεύς')
('ζωγρεῖτʼ', 'ζωγρέω')
('Τοῦτʼ', '_')
('ἀξιώσαιμʼ', '_')
('Ἀνθʼ', '_')
('ἥδοιντʼ', '_')
('Διʼ', 'διά')
('Ἐπʼ', '_')
('Δί᾿ʼ', '_')
('Oὐδʼ', '_')
('δώματʼ', 'δῶμα')
('ἕστηχʼ', 'ἵστημι')
('αὐτόθʼ', 'αὐτόθι')
('θεράποντʼ', 'θεράπων')
('Ἁλλʼ', '_')
('᾿ʼ', '_')
('νόσφʼ', 'νόσφι')
('δαίνυσθʼ', 'δαίνυμι')
('ἥκετʼ', 'ἥκω')
